amount_inr,active_call,call_duration_seconds,screen_share_active,typing_jitter_ms,is_new_payee,velocity_10m,is_fraud
1898.4258422652802,0,50,0,61.02270735131912,0,1,0
83876.91854226583,0,2190,0,228.5433554817909,1,3,1
2694.926598831016,0,344,0,45.86357611080271,1,1,0
1581.6903816541437,0,451,0,61.49686684537474,0,2,0
7399.86536627088,0,597,0,50.29497685656646,0,1,0
2011.8695424534612,0,14,0,19.82094045558275,1,1,0
1045.7099884782392,0,149,0,65.45178112756712,1,2,0
4858.115289849966,0,14,0,48.19226214573909,1,2,0
613.6156025888803,0,22,0,21.736211449072997,0,3,0
4876.002919033452,0,234,0,69.0818652213314,1,2,0
2057.081966260477,0,389,0,70.28066669688769,0,1,0
67.06923841645173,0,393,0,44.78578596755031,0,2,0
850.2945322830618,0,148,0,22.716473056290262,0,2,0
1714.5958432228422,0,84,0,59.1591762411203,0,1,0
2560.4955158940484,0,81,0,108.31790755633,0,1,0
1056.7982311885653,0,367,0,50.82840975799239,0,3,0
426.12076649641955,0,61,1,40.497983086336916,0,1,0
5374.816407670712,0,61,0,64.90259795253797,0,1,0
1163.8383275408198,0,175,0,43.17996125584081,0,1,0
5082.4746656376155,0,427,0,33.888728386064855,0,4,0
301.79942796059686,0,485,0,58.40005814934833,1,1,0
583.7432161035301,0,112,0,15.470283487542417,0,1,0
4309.486355785344,0,210,0,53.57005781619429,0,2,0
2006.8242709142582,0,194,0,69.87043447925276,0,2,0
6694.276399329224,0,252,0,59.96087928500754,1,2,0
623.5681671848237,0,73,0,47.29114091438743,0,1,0
1086.2167286261501,0,53,0,98.01231297022542,1,1,0
1084.441110661366,0,174,0,91.59771278557017,0,1,0
4286.597833070314,0,300,0,43.716747422991276,0,1,0
1500.5091124613832,0,138,0,45.04554862545922,0,2,0
9657.379818592844,0,61,0,68.59841701340177,0,1,0
1623.5308302855258,0,8,0,55.07007840478636,0,1,0
4827.221576579019,0,488,0,48.36629625923327,0,1,0
564.5440642431598,0,5,0,60.88481908686445,0,2,0
3900.6741306557483,0,28,0,39.16705660740482,0,1,0
198.49194609232364,0,364,0,60.29831660392613,0,1,0
3278.255639409631,0,86,0,73.3966054017297,0,1,0
2736.4321197063,0,282,0,54.75798797813567,0,1,0
51151.09695255721,0,1598,0,80.41219972978595,1,1,1
923.7862184757795,0,152,0,24.902851898950267,0,1,0
1637.9975799959288,0,176,0,78.80018938507058,0,1,0
1113.5257272696706,0,678,0,72.56322334859085,0,2,0
3292.7171869112653,0,18,0,80.59531776438357,0,2,0
345.23765899766886,0,91,0,34.5448707808855,0,1,0
2157.4945010813176,0,259,0,43.01355011365651,0,1,0
